menu,restaurantChain,Calories(kcal),Sugar(g),Cholesterol(mg),Saturated Fat(g),Sodium(mg),Protein(g),Fiber(g),Calcium(mg),Iron(mg),Vitamin A(IU),Vitamin C(mg),id,RRR_m1
Mango Key Lime Cheesecake,Cheesecake Factory,1300,97,350,54,520,13,2,0,0,0,0,1234322,0.123986529
Fresh Banana Cream Cheesecake,Cheesecake Factory,1250,79,405,56,510,14,3,0,0,0,0,1234322,0.147163682
Very Cherry Ghirardelli¨ Chocolate Cheesecake,Cheesecake Factory,1160,81,295,51,380,11,4,0,0,0,0,1234322,0.153790804
Lemon Raspberry Cream Cheesecake,Cheesecake Factory,1040,72,320,42,420,10,2,0,0,0,0,1234322,0.127808671
Chocolate Tuxedo Cream¨ Cheesecake,Cheesecake Factory,1250,87,305,55,400,11,5,0,0,0,0,1234322,0.158023309
Chocolate Caramelicious Cheesecake Made With Snickers¨,Cheesecake Factory,1370,96,340,50,400,19,6,0,0,0,0,1234322,0.231699501
Chocolate Mousse Cheesecake,Cheesecake Factory,1220,69,385,58,480,13,4,0,0,0,0,1234322,0.157809195
Lemon Meringue Cheesecake,Cheesecake Factory,1170,95,315,48,510,13,1,0,0,0,0,1234322,0.120077479
Hershey's¨ Chocolate Bar Cheesecake,Cheesecake Factory,1320,109,275,49,610,14,7,0,0,0,0,1234322,0.204731727
30th Anniversary Chocolate Cake Cheesecake,Cheesecake Factory,1310,102,295,51,600,16,6,0,0,0,0,1234322,0.205836419
Low-Licious Cheesecake,Cheesecake Factory,570,5,195,26,460,10,7,0,0,0,0,1234322,0.443786982
Low-Licious Cheesecake with  Strawberries,Cheesecake Factory,580,7,195,26,460,10,8,0,0,0,0,1234322,0.470653378
Vanilla Bean Cheesecake,Cheesecake Factory,1170,68,325,57,480,11,1,0,0,0,0,1234322,0.10502426
Tiramisu Cheesecake,Cheesecake Factory,980,64,310,41,450,11,1,0,0,0,0,1234322,0.126616667
Key Lime Cheesecake,Cheesecake Factory,1160,74,470,53,430,13,1,0,0,0,0,1234322,0.114376363
Caramel Pecan Turtle Cheesecake,Cheesecake Factory,1300,102,340,50,450,15,6,0,0,0,0,1234322,0.19722613
Fresh Pineapple Cheesecake (HI),Cheesecake Factory,1140,91,315,45,520,13,1,0,0,0,0,1234322,0.124961942
Pumpkin,Cheesecake Factory,1040,60,330,48,500,10,2,0,0,0,0,1234322,0.12479724
Pumpkin Pecan,Cheesecake Factory,1270,74,355,46,450,14,4,0,0,0,0,1234322,0.182455213
A La Mode,Cheesecake Factory,400,34,95,16,110,8,0,0,0,0,0,1234322,0.195647551
Hot Fudge,Cheesecake Factory,280,19,40,13,20,3,3,0,0,0,0,1234322,0.31848164
Linda's Fudge Cake,Cheesecake Factory,1450,165,145,29,1040,13,9,0,0,0,0,1234322,0.22674827
Carrot Cake,Cheesecake Factory,1720,116,300,57,1060,15,5,0,0,0,0,1234322,0.159718249
Chocolate Tower Truffle Cakeª,Cheesecake Factory,1770,143,375,60,970,20,11,0,0,0,0,1234322,0.235500094
Tiramisu,Cheesecake Factory,1270,66,455,52,340,13,1,0,0,0,0,1234322,0.118865918
Warm Apple Crisp,Cheesecake Factory,1000,139,105,19,390,9,3,0,0,0,0,1234322,0.151141654
Fresh Strawberry Shortcake,Cheesecake Factory,1340,77,265,47,1140,25,3,0,0,0,0,1234322,0.255575155
Bowl of Fresh Strawberries,Cheesecake Factory,250,19,55,9,15,3,5,0,0,0,0,1234322,0.520964256
Hot Fudge Sundae,Cheesecake Factory,1280,97,260,51,220,20,6,0,0,0,0,1234322,0.252073853
Factory Hot Chocolate,Cheesecake Factory,820,65,165,34,160,12,4,0,0,0,0,1234322,0.237530057
Godiva¨ Chocolate Brownie Sundae - Serves 2-4,Cheesecake Factory,1750,134,330,71,420,25,10,0,0,0,0,1234322,0.255478912
Bowl of Vanilla Ice Cream,Cheesecake Factory,750,57,195,32,180,13,0,0,0,0,0,1234322,0.169127213
Chocolate Milkshake,Cheesecake Factory,1260,123,220,43,410,22,2,0,0,0,0,1234322,0.207843916
Vanilla Milkshake,Cheesecake Factory,1210,117,220,42,370,21,0,0,0,0,0,1234322,0.176791401
Strawberry Milkshake,Cheesecake Factory,1210,131,190,37,320,19,4,0,0,0,0,1234322,0.223540138
Oreo¨ Milkshake,Cheesecake Factory,1630,134,235,50,770,26,2,0,0,0,0,1234322,0.207865504
Strawberry Fruit Smoothie,Cheesecake Factory,320,62,0,2.5,20,2,4,0,0,0,0,1234322,0.298066214
Tropical Smoothie,Cheesecake Factory,370,83,0,2.5,30,1,2,0,0,0,0,1234322,0.115262944
Peach Smoothie,Cheesecake Factory,330,78,0,0,15,2,3,0,0,0,0,1234322,0.212447314
Frozen Iced Mango,Cheesecake Factory,380,85,0,2.5,20,2,2,0,0,0,0,1234322,0.137654804
